index,list_price,play_star_rating,prod_id,set_name,star_rating
0,19.99,4.8,42045.0,Hydroplane Racer,4.8
1,19.99,4.7,60148.0,ATV Race Team,4.8
2,54.8878,4.3,60153.0,People pack – Fun at the beach,4.1
3,73.1878,3.7,21039.0,Shanghai,4.9
4,25.186,5.0,10713.0,Creative Suitcase,5.0
5,251.986,3.9,75060.0,Slave I,4.8
6,67.0878,3.0,75931.0,Dilophosaurus Outpost Attack,3.5
7,203.88,3.9,75060.0,Slave I,4.8
8,32.9278,5.0,10592.0,Fire Truck,5.0
9,50.6922,4.0,60186.0,Mining Heavy Driller,5.0
10,19.4922,5.0,31059.0,Sunset Street Bike,5.0
11,177.4929,5.0,75930.0,Indoraptor Rampage at Lockwood Estate,5.0
12,146.3878,4.7,75191.0,Jedi Starfighter™ With Hyperdrive,4.7
13,41.88,5.0,41323.0,Snow Resort Chalet,5.0
14,12.1878,4.3,75161.0,TIE Striker™ Microfighter,4.5
15,48.7878,4.3,60153.0,People pack – Fun at the beach,4.1
16,48.7878,5.0,10744.0,Thunder Hollow Crazy 8 Race,5.0
17,48.986,4.3,70641.0,Ninja Nightcrawler,4.8
18,12.1878,3.0,41605.0,Thanos,5.0
19,89.88,4.4,70923.0,The Bat-Space Shuttle,4.8
20,179.3922,4.3,42054.0,CLAAS XERION 5000 TRAC VC,4.8
21,42.6878,4.5,75881.0,2016 Ford GT & 1966 Ford GT40,4.8
22,22.087,4.8,75884.0,1968 Ford Mustang Fastback,4.9
23,9.7478,4.7,10714.0,Blue Baseplate,4.7
24,30.439,4.1,70629.0,Piranha Attack,3.6
25,19.152,4.3,75166.0,First Order Transport Speeder Battle Pack,4.7
26,42.639,4.5,41597.0,Go Brick Me,4.6
27,317.1878,3.7,42070.0,6x6 All Terrain Tow Truck,3.5
28,141.9929,4.6,21309.0,LEGO® NASA Apollo Saturn V,4.9
29,15.48,3.6,71217.0,Zane Fun Pack,4.0
30,103.639,4.8,75172.0,Y-Wing Starfighter™,4.7
31,60.7924,4.2,31070.0,Turbo Track Racer,4.5
32,30.498,4.7,10736.0,Anna & Elsa's Frozen Playground,4.7
33,182.9878,4.5,10251.0,Brick Bank,4.7
34,24.3878,4.0,72002.0,Twinfector,5.0
35,69.986,3.7,70914.0,Bane™ Toxic Truck Attack,4.0
36,21.899,4.0,10737.0,Batman™ vs. Mr. Freeze™,4.5
37,21.9478,2.9,7499.0,Flexible and Straight Tracks,2.5
38,14.0322,5.0,41151.0,Mulan's Training Day,5.0
39,22.7924,4.7,60148.0,ATV Race Team,4.8
40,12.138,4.5,42084.0,Hook Loader,4.5
41,29.99,4.7,76100.0,Royal Talon Fighter Attack,4.7
42,121.9878,4.2,60141.0,Police Station,4.7
43,22.7924,5.0,45503.0,EV3 Medium Servo Motor,5.0
44,36.5878,4.5,60165.0,4 x 4 Response Unit,5.0
45,36.5878,4.5,75209.0,Han Solo's Landspeeder™,4.8
46,58.4922,3.7,75148.0,Encounter on Jakku™,3.6
47,4.8678,4.3,71020.0,THE LEGO® BATMAN MOVIE Series 2,4.8
48,12.4722,4.2,76029.0,Iron Man vs. Ultron,4.5
49,45.59240000000001,4.7,60160.0,Jungle Mobile Lab,5.0
50,60.9878,5.0,10846.0,Flo's Café,5.0
51,207.3878,4.5,42078.0,Mack Anthem,4.7
52,53.88,4.2,31070.0,Turbo Track Racer,4.5
53,195.1878,3.5,70912.0,Arkham Asylum,3.8
54,18.962,4.5,71234.0,Sensei Wu Fun Pack,4.5
55,18.2878,5.0,41329.0,Olivia's Deluxe Bedroom,4.0
56,67.0878,4.9,10507.0,My First Train Set,4.7
57,30.0,4.3,31066.0,Space Shuttle Explorer,4.2
58,329.3878,4.9,70922.0,The Joker™ Manor,5.0
59,64.6478,4.5,70642.0,Killow vs. Samurai X,4.0
60,23.952,4.6,60150.0,Pizza Van,4.9
61,21.9478,4.5,31058.0,Mighty Dinosaurs,4.7
62,40.2478,4.0,31080.0,Modular Winter Vacation,3.5
63,176.8878,5.0,60162.0,Jungle Air Drop Helicopter,5.0
64,12.1878,4.5,31056.0,Green Cruiser,4.5
65,60.9878,4.5,41187.0,Rosalyn's Healing Hideout,4.3
66,54.8878,4.8,71242.0,Ghostbusters™ Story Pack,4.2
67,121.38,4.1,42077.0,Rally Car,4.4
68,36.5878,5.0,41316.0,Andrea's Speedboat Transporter,5.0
69,67.0878,4.8,41313.0,Heartlake Summer Pool,4.5
70,38.9922,5.0,41323.0,Snow Resort Chalet,5.0
71,12.1878,2.7,41598.0,The Flash™,4.0
72,45.37000000000001,3.5,70608.0,Master Falls,4.0
73,143.88,4.1,75189.0,First Order Heavy Assault Walker™,4.4
74,16.322899999999994,5.0,40171.0,LEGO® Friends Buildable Hedgehog Storage,5.0
75,54.8878,5.0,10698.0,LEGO® Large Creative Brick Box,5.0
76,52.752,4.0,60186.0,Mining Heavy Driller,5.0
77,24.3878,5.0,42072.0,WHACK!,5.0
78,73.1878,5.0,10813.0,Big Construction Site,5.0
79,67.0878,4.7,70631.0,Garmadon's Volcano Lair,4.3
80,22.7924,5.0,10754.0,Spider-Man vs. Scorpion Street Showdown,4.0
81,153.986,2.0,70357.0,Knighton Castle,2.6
82,115.152,5.0,41318.0,Heartlake Hospital,4.8
83,13.252199999999998,4.5,75167.0,Bounty Hunter Speeder Bike™ Battle Pack,4.7
